NM_000014.6	A2M
NM_004666.3	VNN1
NM_004667.6	HERC2
NM_004669.3	CLIC3
NM_004671.5	PIAS2
NM_004672.5	MAP3K6
NM_004673.4	ANGPTL1
NM_004674.5	ASH2L
NM_004675.5	DIRAS3
NM_004676.2	PRY
NM_004678.3	BPY2
NM_004679.4	VCY
NM_004680.3	CDY1
NM_004681.4	EIF1AY
NM_004684.6	SPARCL1
NM_004685.5	MTMR6
NM_004686.5	MTMR7
NM_004688.3	NMI
NM_004689.4	MTA1
NM_004690.4	LATS1
NM_004691.5	ATP6V0D1
NM_004693.3	KRT75
NM_004694.5	SLC16A6
NM_004695.4	SLC16A5
NM_004696.3	SLC16A4
NM_004698.4	PRPF3
NM_004699.4	FAM50A
NM_004700.4	KCNQ4
NM_004701.4	CCNB2
NM_004703.6	RABEP1
NM_004704.5	RRP9
NM_004705.4	THAP12
NM_004706.4	ARHGEF1
NM_004707.4	ATG12
NM_004708.4	PDCD5
NM_004710.7	SYNGR2
NM_004711.5	SYNGR1
NM_004712.5	HGS
NM_004713.6	NEMF
NM_004714.3	DYRK1B
NM_004715.5	CTDP1
NM_004716.4	PCSK7
NM_004718.4	COX7A2L
NM_004719.3	SCAF11
NM_004720.7	LPAR2
NM_004721.5	MAP3K13
NM_004722.4	AP4M1
NM_004724.4	ZW10
NM_004725.4	BUB3
NM_004726.3	REPS2
NM_004727.3	SLC24A1
NM_004728.4	DDX21
NM_004730.4	ETF1
NM_004732.4	KCNAB3
NM_004733.4	SLC33A1
NM_004736.4	XPR1
NM_004738.5	VAPB
NM_004739.4	MTA2
NM_004740.3	TIAF1
NM_004741.5	NOLC1
NM_004744.5	LRAT
NM_004746.4	DLGAP1
NM_004747.4	DLG5
NM_004749.4	TBRG4
NM_004750.5	CRLF1
NM_004751.3	GCNT3
NM_004752.4	GCM2
NM_004753.7	DHRS3
NM_004755.4	RPS6KA5
NM_004756.5	NUMBL
NM_004758.4	TSPOAP1
NM_004760.3	STK17A
NM_004761.5	RGL2
NM_004762.6	CYTH1
NM_004763.5	ITGB1BP1
NM_004764.5	PIWIL1
NM_004765.4	BCL7C
NM_004766.3	COPB2
NM_004767.5	GPR37L1
NM_004769.4	ASIC3
NM_004770.3	KCNB2
NM_004771.4	MMP20
NM_004772.4	NREP
NM_004773.4	ZNHIT3
NM_004774.4	MED1
NM_004775.5	B4GALT6
NM_004776.4	B4GALT5
NM_004778.3	PTGDR2
NM_004780.3	TCEAL1
NM_004781.4	VAMP3
NM_004782.4	SNAP29
NM_004784.3	NDST3
NM_004786.3	TXNL1
NM_004787.4	SLIT2
NM_004789.4	LHX2
NM_004791.3	ITGBL1
NM_004792.3	PPIG
NM_004793.4	LONP1
NM_004794.3	RAB33A
NM_004795.4	KL
NM_004797.4	ADIPOQ
NM_004798.4	KIF3B
NM_004799.4	ZFYVE9
NM_004800.3	TM9SF2
NM_004804.3	CIAO1
NM_004805.4	POLR2D
NM_004807.3	HS6ST1
NM_004808.3	NMT2
NM_004809.5	STOML1
NM_004810.4	GRAP2
NM_004811.3	LPXN
NM_004813.4	PEX16
NM_004814.3	SNRNP40
NM_004815.4	ARHGAP29
NM_004817.4	TJP2
NM_004818.3	DDX23
NM_004819.3	SYMPK
NM_004820.5	CYP7B1
NM_004821.3	HAND1
NM_004822.3	NTN1
NM_004823.3	KCNK6
NM_004824.4	CDYL
NM_004825.2	CDY2A
NM_004826.4	ECEL1
NM_004827.3	ABCG2
NM_004828.4	NCR2
NM_004829.7	NCR1
NM_004830.4	MED23
NM_004831.5	MED26
NM_004832.3	GSTO1
NM_004833.3	AIM2
NM_004836.7	EIF2AK3
NM_004837.4	GGPS1
NM_004838.4	HOMER3
NM_004839.4	HOMER2
NM_004840.3	ARHGEF6
NM_004843.4	IL27RA
NM_004844.5	SH3BP5
NM_004845.5	PCYT1B
NM_004846.4	EIF4E2
NM_004849.4	ATG5
NM_004850.5	ROCK2
NM_004851.3	NAPSA
NM_004852.3	ONECUT2
NM_004853.3	STX8
NM_004854.5	CHST10
NM_004855.5	PIGB
NM_004857.3	AKAP5
NM_004859.4	CLTC
NM_004860.4	FXR2
NM_004863.4	SPTLC2
NM_004864.4	GDF15
NM_004865.4	TBPL1
NM_004866.6	SCAMP1
NM_004867.5	ITM2A
NM_004869.4	VPS4B
NM_004870.4	MPDU1
NM_004872.5	TMEM59
NM_004874.4	BAG4
NM_004877.4	GMFG
NM_004878.5	PTGES
NM_004879.5	EI24
NM_004881.5	TP53I3
NM_004882.4	CIR1
NM_004883.3	NRG2
NM_004884.4	IGDCC3
NM_004885.3	NPFFR2
NM_004886.4	APBA3
NM_004887.5	CXCL14
NM_004888.4	ATP6V1G1
NM_004889.5	ATP5MF
NM_004890.3	SPAG7
NM_004891.4	MRPL33
NM_004892.6	SEC22B
NM_004894.3	ATP5MJ
NM_004896.5	VPS26A
NM_004897.5	MINPP1
NM_004898.4	CLOCK
NM_004900.5	APOBEC3B
NM_004901.5	ENTPD4
NM_004905.3	PRDX6
NM_004907.3	IER2
NM_004910.3	PITPNM1
NM_004911.5	PDIA4
NM_004913.3	VPS9D1
NM_004914.5	RAB36
NM_004917.4	KLK4
NM_004918.4	TCL1B
NM_004923.3	TESMIN
NM_004924.6	ACTN4
NM_004925.5	AQP3
NM_004926.4	ZFP36L1
NM_004927.4	MRPL49
NM_004928.3	CFAP410
NM_004929.4	CALB1
NM_004930.5	CAPZB
NM_004931.5	CD8B
NM_004932.4	CDH6
NM_004933.3	CDH15
NM_004934.5	CDH18
NM_004935.4	CDK5
NM_004936.4	CDKN2B
NM_004937.3	CTNS
NM_004938.4	DAPK1
NM_004939.3	DDX1
NM_004941.3	DHX8
NM_004942.4	DEFB4A
NM_004943.2	DMWD
NM_004944.4	DNASE1L3
NM_004946.3	DOCK2
NM_004947.5	DOCK3
NM_004950.5	EPYC
NM_004951.5	GPR183
NM_004952.5	EFNA3
NM_004956.5	ETV1
NM_004957.6	FPGS
NM_004958.4	MTOR
NM_004959.5	NR5A1
NM_004960.4	FUS
NM_004961.4	GABRE
NM_004962.5	GDF10
NM_004963.4	GUCY2C
NM_004964.3	HDAC1
NM_004965.7	HMGN1
NM_004967.4	IBSP
NM_004969.4	IDE
NM_004970.3	IGFALS
NM_004972.4	JAK2
NM_004973.4	JARID2
NM_004974.4	KCNA2
NM_004975.4	KCNB1
NM_004977.3	KCNC3
NM_004979.6	KCND1
NM_004982.4	KCNJ8
NM_004983.3	KCNJ9
NM_004984.4	KIF5A
NM_004985.5	KRAS
NM_004988.5	MAGEA1
NM_004990.4	MARS1
NM_004991.4	MECOM
NM_004993.6	ATXN3
NM_004994.3	MMP9
NM_004995.4	MMP14
NM_004996.4	ABCC1
NM_004997.3	MYBPH
NM_004998.4	MYO1E
NM_004999.4	MYO6
NM_005000.5	NDUFA5
NM_005001.5	NDUFA7
NM_005002.5	NDUFA9
NM_005003.3	NDUFAB1
NM_005004.4	NDUFB8
NM_005005.3	NDUFB9
NM_005006.7	NDUFS1
NM_005007.4	NFKBIL1
NM_005009.3	NME4
NM_005011.5	NRF1
NM_005012.4	ROR1
NM_005013.4	NUCB2
NM_005014.3	OMD
NM_005015.5	OXA1L
NM_005018.3	PDCD1
NM_005021.5	ENPP3
NM_005022.4	PFN1
NM_005023.4	PGGT1B
NM_005024.3	SERPINB10
NM_005026.5	PIK3CD
NM_005027.4	PIK3R2
NM_005028.5	PIP4K2A
NM_005029.4	PITX3
NM_005030.6	PLK1
NM_005032.7	PLS3
NM_005033.3	EXOSC9
NM_005034.4	POLR2K
NM_005035.4	POLRMT
NM_005036.6	PPARA
NM_005038.3	PPID
NM_005040.4	PRCP
NM_005044.5	PRKX
NM_005045.4	RELN
NM_005046.4	KLK7
NM_005047.4	PSMD5
NM_005048.4	PTH2R
NM_005049.3	PWP2
NM_005050.4	ABCD4
NM_005051.3	QARS1
NM_005052.3	RAC3
NM_005053.4	RAD23A
NM_005054.3	RGPD5
NM_005055.5	RAPSN
NM_005057.4	RBBP5
NM_005058.4	RBMY1A1
NM_005060.4	RORC
NM_005061.3	RPL3L
NM_005063.5	SCD
NM_005064.6	CCL23
NM_005065.6	SEL1L
NM_005066.3	SFPQ
NM_005067.7	SIAH2
NM_005068.3	SIM1
NM_005069.6	SIM2
NM_005070.4	SLC4A3
NM_005071.3	SLC1A6
NM_005072.5	SLC12A4
NM_005073.4	SLC15A1
NM_005074.5	SLC17A1
NM_005076.5	CNTN2
NM_005077.5	TLE1
NM_005082.5	TRIM25
NM_005084.4	PLA2G7
NM_005085.4	NUP214
NM_005086.5	SSPN
NM_005087.4	FXR1
NM_005088.3	AKAP17A
NM_005089.4	ZRSR2
NM_005091.3	PGLYRP1
NM_005092.4	TNFSF18
NM_005094.4	SLC27A4
NM_005095.3	ZMYM4
NM_005097.4	LGI1
NM_005098.4	MSC
NM_005099.6	ADAMTS4
NM_005100.4	AKAP12
NM_005101.4	ISG15
NM_005102.3	FEZ2
NM_005103.5	FEZ1
NM_005104.4	BRD2
NM_005105.5	RBM8A
NM_005107.4	EXOG
NM_005108.4	XYLB
NM_005109.3	OXSR1
NM_005110.4	GFPT2
NM_005113.4	GOLGA5
NM_005114.4	HS3ST1
NM_005115.5	MVP
NM_005116.6	SLC23A2
NM_005117.3	FGF19
NM_005118.4	TNFSF15
NM_005119.4	THRAP3
NM_005120.3	MED12
NM_005121.3	MED13
NM_005122.5	NR1I3
NM_005124.4	NUP153
NM_005125.2	CCS
NM_005126.5	NR1D2
NM_005127.3	CLEC2B
NM_005130.5	FGFBP1
NM_005131.3	THOC1
NM_005133.3	RCE1
NM_005137.3	DGCR2
NM_005138.3	SCO2
NM_005139.3	ANXA3
NM_005140.3	CNGA2
NM_005141.5	FGB
NM_005142.3	CBLIF
NM_005143.5	HP
NM_005144.5	HR
NM_005146.5	SART1
NM_005147.6	DNAJA3
NM_005148.4	UNC119
NM_005149.3	TBX19
NM_005151.4	USP14
NM_005153.3	USP10
NM_005154.5	USP8
NM_005155.7	PPT2
NM_005157.6	ABL1
NM_005159.5	ACTC1
NM_005160.4	GRK3
NM_005161.6	APLNR
NM_005164.4	ABCD2
NM_005165.3	ALDOC
NM_005167.7	PPM1J
NM_005168.5	RND3
NM_005169.4	PHOX2A
NM_005170.3	ASCL2
NM_005171.5	ATF1
NM_005172.2	ATOH1
NM_005173.4	ATP2A3
NM_005175.3	ATP5MC1
NM_005176.7	ATP5MC2
NM_005178.5	BCL3
NM_005180.9	BMI1
NM_005181.4	CA3
NM_005182.3	CA7
NM_005184.4	CALM3
NM_005185.4	CALML3
NM_005186.4	CAPN1
NM_005187.6	CBFA2T3
NM_005188.4	CBL
NM_005189.3	CBX2
NM_005190.4	CCNC
NM_005191.4	CD80
NM_005192.4	CDKN3
NM_005193.2	CDX4
NM_005194.4	CEBPB
NM_005195.4	CEBPD
NM_005197.4	FOXN3
NM_005198.5	CHKB
NM_005199.5	CHRNG
NM_005201.4	CCR8
NM_005202.4	COL8A2
NM_005204.4	MAP3K8
NM_005205.4	COX6A2
NM_005207.4	CRKL
NM_005208.5	CRYBA1
NM_005210.4	CRYGB
NM_005212.3	CSN3
NM_005213.4	CSTA
NM_005214.5	CTLA4
NM_005215.4	DCC
NM_005216.5	DDOST
NM_005217.4	DEFA3
NM_005218.4	DEFB1
NM_005219.5	DIAPH1
NM_005220.3	DLX3
NM_005221.6	DLX5
NM_005222.4	DLX6
NM_005223.4	DNASE1
NM_005224.3	ARID3A
NM_005225.3	E2F1
NM_005226.4	S1PR3
NM_005227.3	EFNA4
NM_005228.5	EGFR
NM_005230.4	ELK3
NM_005231.4	CTTN
NM_005232.5	EPHA1
NM_005233.6	EPHA3
NM_005234.4	NR2F6
NM_005235.3	ERBB4
NM_005236.3	ERCC4
NM_005239.6	ETS2
NM_005242.6	F2RL1
NM_005243.4	EWSR1
NM_005244.5	EYA2
NM_005245.4	FAT1
NM_005246.4	FER
NM_005247.4	FGF3
NM_005248.3	FGR
NM_005249.5	FOXG1
NM_005250.3	FOXL1
NM_005251.3	FOXC2
NM_005252.4	FOS
NM_005253.4	FOSL2
NM_005255.4	GAK
NM_005257.6	GATA6
NM_005258.3	GCHFR
NM_005259.3	MSTN
NM_005260.7	GDF9
NM_005261.4	GEM
NM_005262.3	GFER
NM_005263.5	GFI1
NM_005264.8	GFRA1
NM_005267.5	GJA8
NM_005268.4	GJB5
NM_005269.3	GLI1
NM_005271.5	GLUD1
NM_005273.4	GNB2
NM_005274.3	GNG5
NM_005275.5	GNL1
NM_005276.4	GPD1
NM_005281.4	GPR3
NM_005282.3	GPR4
NM_005284.5	GPR6
NM_005285.5	NPBWR1
NM_005286.4	NPBWR2
NM_005288.4	GPR12
NM_005290.4	GPR15
NM_005293.3	GPR20
NM_005294.3	GPR21
NM_005295.3	GPR22
NM_005297.4	MCHR1
NM_005298.4	GPR25
NM_005299.3	GPR31
NM_005301.5	GPR35
NM_005302.5	GPR37
NM_005303.2	FFAR1
NM_005304.5	FFAR3
NM_005308.3	GRK5
NM_005309.3	GPT
NM_005310.5	GRB7
NM_005313.5	PDIA3
NM_005314.3	GRPR
NM_005315.2	GSC2
NM_005316.4	GTF2H1
NM_005317.4	GZMM
NM_005318.4	H1-0
NM_005319.4	H1-2
NM_005320.3	H1-3
NM_005321.3	H1-4
NM_005322.3	H1-5
NM_005323.4	H1-6
NM_005324.5	H3-3B
NM_005325.4	H1-1
NM_005326.6	HAGH
NM_005327.7	HADH
NM_005328.3	HAS2
NM_005330.4	HBE1
NM_005331.5	HBQ1
NM_005332.3	HBZ
NM_005333.5	HCCS
NM_005334.3	HCFC1
NM_005335.6	HCLS1
NM_005336.6	HDLBP
NM_005337.5	NCKAP1L
NM_005338.7	HIP1
NM_005339.5	UBE2K
NM_005340.7	HINT1
NM_005341.4	ZBTB48
NM_005342.4	HMGB3
NM_005343.4	HRAS
NM_005345.6	HSPA1A
NM_005346.6	HSPA1B
NM_005347.5	HSPA5
NM_005348.4	HSP90AA1
NM_005353.3	ITGAD
NM_005354.6	JUND
NM_005356.5	LCK
NM_005357.4	LIPE
NM_005359.6	SMAD4
NM_005360.5	MAF
NM_005362.4	MAGEA3
NM_005363.5	MAGEA6
NM_005364.5	MAGEA8
NM_005365.5	MAGEA9
NM_005366.5	MAGEA11
NM_005368.3	MB
NM_005370.5	RAB8A
NM_005371.6	METTL1
NM_005372.1	MOS
NM_005373.3	MPL
NM_005374.5	MPP2
NM_005378.6	MYCN
NM_005379.4	MYO1A
NM_005380.8	NBL1
NM_005381.3	NCL
NM_005382.2	NEFM
NM_005383.2	NEU2
NM_005384.3	NFIL3
NM_005385.4	NKTR
NM_005386.4	NNAT
NM_005388.5	PDCL
NM_005390.5	PDHA2
NM_005391.5	PDK3
NM_005392.4	PHF2
NM_005393.3	PLXNB3
NM_005398.7	PPP1R3C
NM_005399.5	PRKAB2
NM_005400.3	PRKCE
NM_005401.5	PTPN14
NM_005402.4	RALA
NM_005406.3	ROCK1
NM_005408.3	CCL13
NM_005409.5	CXCL11
NM_005410.4	SELENOP
NM_005411.5	SFTPA1
NM_005412.6	SHMT2
NM_005413.4	SIX3
NM_005414.5	SKIL
NM_005415.5	SLC20A1
NM_005419.4	STAT2
NM_005420.3	SULT1E1
NM_005421.3	TAL2
NM_005422.4	TECTA
NM_005423.5	TFF2
NM_005424.5	TIE1
NM_005425.5	TNP2
NM_005427.4	TP73
NM_005428.4	VAV1
NM_005429.5	VEGFC
NM_005430.4	WNT1
NM_005431.2	XRCC2
NM_005432.4	XRCC3
NM_005433.4	YES1
NM_005434.5	MALL
NM_005435.4	ARHGEF5
NM_005436.5	CCDC6
NM_005438.5	FOSL1
NM_005440.5	RND2
NM_005441.3	CHAF1B
NM_005443.5	PAPSS1
NM_005444.3	CNOT9
NM_005445.4	SMC3
NM_005446.5	P2RX6
NM_005447.4	RASSF9
NM_005448.2	BMP15
NM_005449.5	FCMR
NM_005450.6	NOG
NM_005451.5	PDLIM7
NM_005452.6	WDR46
NM_005453.5	ZBTB22
NM_005454.3	CER1
NM_005456.4	MAPK8IP1
NM_005458.8	GABBR2
NM_005459.4	GUCA1C
NM_005460.4	SNCAIP
NM_005461.5	MAFB
NM_005462.5	MAGEC1
NM_005465.7	AKT3
NM_005466.4	MED6
NM_005467.4	NAALAD2
NM_005468.3	NAALADL1
NM_005469.4	ACOT8
NM_005471.5	GNPDA1
NM_005472.5	KCNE3
NM_005474.5	HDAC5
NM_005475.3	SH2B3
NM_005476.7	GNE
NM_005477.3	HCN4
NM_005478.6	INSL5
NM_005479.4	FRAT1
NM_005480.4	TROAP
NM_005481.3	MED16
NM_005482.3	PIGK
NM_005483.3	CHAF1A
NM_005486.3	TOM1L1
NM_005488.3	TOM1
NM_005490.3	SH2D3A
NM_005491.5	MAMLD1
NM_005492.4	CST8
NM_005493.3	RANBP9
NM_005495.3	SLC17A4
NM_005497.4	GJC1
NM_005498.5	AP1M2
NM_005499.3	UBA2
NM_005500.3	SAE1
NM_005502.4	ABCA1
NM_005504.7	BCAT1
NM_005505.5	SCARB1
NM_005506.4	SCARB2
NM_005507.3	CFL1
NM_005508.5	CCR4
NM_005510.4	DXO
NM_005511.2	MLANA
NM_005513.3	GTF2E1
NM_005514.8	HLA-B
NM_005515.4	MNX1
NM_005516.6	HLA-E
NM_005517.4	HMGN2
NM_005518.4	HMGCS2
NM_005519.2	HMX2
NM_005521.4	TLX1
NM_005522.5	HOXA1
NM_005523.6	HOXA11
NM_005524.4	HES1
NM_005525.4	HSD11B1
NM_005526.4	HSF1
NM_005527.4	HSPA1L
NM_005528.4	DNAJC4
NM_005529.7	HSPG2
NM_005530.3	IDH3A
NM_005534.4	IFNGR2
NM_005535.3	IL12RB1
NM_005536.4	IMPA1
NM_005538.4	INHBC
NM_005539.5	INPP5A
NM_005540.3	INPP5B
NM_005542.6	INSIG1
NM_005543.4	INSL3
NM_005544.3	IRS1
NM_005545.4	ISLR
NM_005546.4	ITK
NM_005547.4	IVL
NM_005548.3	KARS1
NM_005549.2	KCNA10
NM_005551.5	KLK2
NM_005553.4	KRTAP5-9
NM_005554.4	KRT6A
NM_005555.4	KRT6B
NM_005556.4	KRT7
NM_005557.4	KRT16
NM_005558.4	LAD1
NM_005559.4	LAMA1
NM_005560.6	LAMA5
NM_005561.4	LAMP1
NM_005562.3	LAMC2
NM_005563.4	STMN1
NM_005564.5	LCN2
NM_005565.5	LCP2
NM_005566.4	LDHA
NM_005567.4	LGALS3BP
NM_005568.5	LHX1
NM_005569.4	LIMK2
NM_005570.4	LMAN1
NM_005573.4	LMNB1
NM_005574.4	LMO2
NM_005575.3	LNPEP
NM_005576.4	LOXL1
NM_005577.4	LPA
NM_005581.5	BCAM
NM_005582.3	CD180
NM_005583.5	LYL1
NM_005584.5	MAB21L1
NM_005585.5	SMAD6
NM_005586.4	MDFI
NM_005588.3	MEP1A
NM_005589.4	ALDH6A1
NM_005591.4	MRE11
NM_005592.4	MUSK
NM_005593.3	MYF5
NM_005598.4	NHLH1
NM_005599.3	NHLH2
NM_005600.3	NIT1
NM_005601.4	NKG7
NM_005602.6	CLDN11
NM_005604.4	POU3F2
NM_005605.5	PPP3CC
NM_005606.7	LGMN
NM_005608.3	PTPRCAP
NM_005609.4	PYGM
NM_005610.3	RBBP4
NM_005611.4	RBL2
NM_005612.5	REST
NM_005613.6	RGS4
NM_005614.4	RHEB
NM_005615.5	RNASE6
NM_005617.4	RPS14
NM_005618.4	DLL1
NM_005619.5	RTN2
NM_005620.2	S100A11
NM_005621.2	S100A12
NM_005622.4	ACSM3
NM_005623.3	CCL8
NM_005624.4	CCL25
NM_005625.4	SDCBP
NM_005626.5	SRSF4
NM_005628.3	SLC1A5
NM_005629.4	SLC6A8
NM_005630.3	SLCO2A1
NM_005631.5	SMO
NM_005632.3	CAPN15
NM_005633.4	SOS1
NM_005634.3	SOX3
NM_005635.4	SSX1
NM_005636.4	SSX4
NM_005638.6	VAMP7
NM_005639.3	SYT1
NM_005640.3	TAF4B
NM_005642.3	TAF7
NM_005643.4	TAF11
NM_005644.4	TAF12
NM_005645.4	TAF13
NM_005646.4	TARBP1
NM_005647.4	TBL1X
NM_005648.4	ELOC
NM_005649.3	ZNF354A
NM_005651.4	TDO2
NM_005652.5	TERF2
NM_005653.5	TFCP2
NM_005654.6	NR2F1
NM_005655.4	KLF10
NM_005656.4	TMPRSS2
NM_005658.5	TRAF1
NM_005659.7	UFD1
NM_005660.3	SLC35A2
NM_005662.7	VDAC3
NM_005663.5	NELFA
NM_005664.4	MKRN3
NM_005666.4	CFHR2
NM_005667.4	RNF103
NM_005668.6	ST8SIA4
NM_005669.5	REEP5
NM_005670.4	EPM2A
NM_005671.4	UBXN8
NM_005672.5	PSCA
NM_005675.6	DGCR6
NM_005676.5	RBM10
NM_005677.4	COLQ
NM_005678.5	SNURF
NM_005680.3	TAF1B
NM_005681.4	TAF1A
NM_005683.4	GPR55
NM_005684.5	GPR52
NM_005685.4	GTF2IRD1
NM_005686.3	SOX13
NM_005687.5	FARSB
NM_005688.4	ABCC5
NM_005689.4	ABCB6
NM_005693.4	NR1H3
NM_005694.2	COX17
NM_005697.5	SCAMP2
NM_005698.4	SCAMP3
NM_005701.4	SNUPN
NM_005702.4	ERAL1
NM_005706.4	TSSC4
NM_005707.2	PDCD7
NM_005708.5	GPC6
NM_005711.5	EDIL3
NM_005715.3	UST
NM_005716.4	GIPC1
NM_005717.4	ARPC5
NM_005718.5	ARPC4
NM_005720.4	ARPC1B
NM_005721.5	ACTR3
NM_005722.4	ACTR2
NM_005723.4	TSPAN5
NM_005724.6	TSPAN3
NM_005725.6	TSPAN2
NM_005726.6	TSFM
NM_005727.4	TSPAN1
NM_005729.4	PPIF
NM_005730.4	CTDSP2
NM_005732.4	RAD50
NM_005733.3	KIF20A
NM_005734.5	HIPK3
NM_005735.4	ACTR1B
NM_005736.4	ACTR1A
NM_005738.5	ARL4A
NM_005739.4	RASGRP1
NM_005740.3	DNAL4
NM_005741.5	ZNF263
NM_005742.4	PDIA6
NM_005744.5	ARIH1
NM_005746.3	NAMPT
NM_005747.5	CELA3A
NM_005748.6	YAF2
NM_005749.4	TOB1
NM_005751.5	AKAP9
NM_005752.6	CLEC3A
NM_005754.3	G3BP1
NM_005755.3	EBI3
NM_005760.3	CEBPZ
NM_005761.3	PLXNC1
NM_005762.3	TRIM28
NM_005763.4	AASS
NM_005764.4	PDZK1IP1
NM_005765.3	ATP6AP2
NM_005766.4	FARP1
NM_005768.6	LPCAT3
NM_005772.5	RCL1
NM_005773.3	ZNF256
NM_005775.5	SORBS3
NM_005776.3	CNIH1
NM_005777.3	RBM6
NM_005778.4	RBM5
NM_005779.3	LHFPL2
NM_005780.3	LHFPL6
NM_005782.4	ALYREF
NM_005783.4	TXNDC9
NM_005785.4	RNF41
NM_005787.6	ALG3
NM_005788.4	PRMT3
NM_005789.4	PSME3
NM_005791.3	MPHOSPH10
NM_005792.2	MPHOSPH6
NM_005794.4	DHRS2
NM_005795.6	CALCRL
NM_005796.3	NUTF2
NM_005797.4	MPZL2
NM_005800.5	USPL1
NM_005801.4	EIF1
NM_005802.5	TOPORS
NM_005803.4	FLOT1
NM_005804.4	DDX39A
NM_005805.6	PSMD14
NM_005806.4	OLIG2
NM_005807.6	PRG4
NM_005809.6	PRDX2
NM_005810.4	KLRG1
NM_005811.5	GDF11
NM_005813.6	PRKD3
NM_005814.3	GPA33
NM_005815.5	ZNF443
NM_005816.5	CD96
NM_005817.5	PLIN3
NM_005819.6	STX6
NM_005823.6	MSLN
NM_005826.5	HNRNPR
NM_005827.4	SLC35B1
NM_005828.5	DCAF7
NM_005829.5	AP3S2
NM_005830.4	MRPS31
NM_005831.5	CALCOCO2
NM_005833.4	RABEPK
NM_005834.5	TIMM17B
NM_005836.3	RIDA
NM_005837.3	POP7
NM_005839.4	SRRM1
NM_005842.4	SPRY2
NM_005843.6	STAM2
NM_005845.5	ABCC4
NM_005847.5	SLC23A1
NM_005849.4	IGSF6
NM_005850.5	SF3B4
NM_005851.5	CDK2AP2
NM_005853.6	IRX5
NM_005854.3	RAMP2
NM_005855.4	RAMP1
NM_005856.3	RAMP3
NM_005857.5	ZMPSTE24
NM_005858.4	AKAP8
NM_005859.5	PURA
NM_005860.3	FSTL3
NM_005861.4	STUB1
NM_005862.3	STAG1
NM_005864.4	EFS
NM_005865.4	PRSS16
NM_005866.4	SIGMAR1
NM_005868.6	BET1
NM_005869.4	CWC27
NM_005870.4	SAP18
NM_005871.4	SMNDC1
NM_005872.3	BCAS2
NM_005873.3	RGS19
NM_005875.3	EIF1B
NM_005876.5	SPEG
NM_005877.6	SF3A1
NM_005879.3	TRAIP
NM_005880.4	DNAJA2
NM_005881.4	BCKDK
NM_005883.3	APC2
NM_005884.4	PAK4
NM_005885.4	MARCHF6
NM_005886.3	KATNB1
NM_005891.3	ACAT2
NM_005892.4	FMNL1
NM_005893.3	CCIN
NM_005894.3	CD5L
NM_005896.4	IDH1
NM_005897.3	IPP
NM_005898.5	CAPRIN1
NM_005899.5	NBR1
NM_005900.3	SMAD1
NM_005901.6	SMAD2
NM_005902.4	SMAD3
NM_005903.7	SMAD5
NM_005904.4	SMAD7
NM_005907.4	MAN1A1
NM_005908.4	MANBA
NM_005909.5	MAP1B
NM_005911.6	MAT2A
NM_005912.3	MC4R
NM_005913.3	MC5R
NM_005915.6	MCM6
NM_005916.5	MCM7
NM_005917.4	MDH1
NM_005918.4	MDH2
NM_005920.4	MEF2D
NM_005921.2	MAP3K1
NM_005922.4	MAP3K4
NM_005923.4	MAP3K5
NM_005924.5	MEOX2
NM_005925.3	MEP1B
NM_005926.3	MFAP1
NM_005927.5	MFAP3
NM_005928.4	MFGE8
NM_005929.6	MELTF
NM_005931.5	MICB
NM_005932.4	MIPEP
NM_005934.4	MLLT1
NM_005937.4	MLLT6
NM_005938.4	FOXO4
NM_005940.5	MMP11
NM_005941.5	MMP16
NM_005944.7	CD200
NM_005946.3	MT1A
NM_005947.3	MT1B
NM_005949.4	MT1F
NM_005951.2	MT1H
NM_005952.4	MT1X
NM_005953.5	MT2A
NM_005954.4	MT3
NM_005955.3	MTF1
NM_005956.4	MTHFD1
NM_005957.5	MTHFR
NM_005958.4	MTNR1A
NM_005959.5	MTNR1B
NM_005960.2	MUC3A
NM_005961.3	MUC6
NM_005963.4	MYH1
NM_005966.4	NAB1
NM_005967.4	NAB2
NM_005968.5	HNRNPM
NM_005969.4	NAP1L4
NM_005971.4	FXYD3
NM_005972.6	NPY4R
NM_005973.5	PRCC
NM_005975.4	PTK6
NM_005977.4	RNF6
NM_005978.4	S100A2
NM_005980.3	S100P
NM_005981.5	TSPAN31
NM_005982.4	SIX1
NM_005983.4	SKP2
NM_005984.5	SLC25A1
NM_005985.4	SNAI1
NM_005986.3	SOX1
NM_005988.3	SPRR2A
NM_005989.4	AKR1D1
NM_005990.4	STK10
NM_005993.5	TBCD
NM_005994.4	TBX2
NM_005995.5	TBX10
NM_005996.4	TBX3
NM_005997.3	VPS72
NM_005998.5	CCT3
NM_005999.3	TSNAX
NM_006000.3	TUBA4A
NM_006001.3	TUBA3C
NM_006002.5	UCHL3
NM_006003.3	UQCRFS1
NM_006004.4	UQCRH
NM_006005.3	WFS1
NM_006006.6	ZBTB16
NM_006009.4	TUBA1A
NM_006010.6	MANF
NM_006011.4	ST8SIA2
NM_006012.4	CLPP
NM_006013.5	RPL10
NM_006014.5	LAGE3
NM_006015.6	ARID1A
NM_006016.6	CD164
NM_006017.3	PROM1
NM_006018.3	HCAR3
NM_006019.4	TCIRG1
NM_006020.3	ALKBH1
NM_006023.3	CDC123
NM_006024.7	TAX1BP1
NM_006026.4	H1-10
NM_006028.5	HTR3B
